subject_id,metric,baseline_n,amusement_n,baseline_mean,amusement_mean,delta_b_minus_a,wilcoxon_p
S4,hr_abs_diff,230,73,6.9472314746059896,5.083963002467023,-1.8632684721389667,0.10151153384985573
S4,orphanidou_template_corr,230,73,0.7374478113329423,0.8762769911389476,0.1388291798060053,3.8412067118470007e-11
S5,inhouse_ppg_sqi,239,74,0.9894769516719593,0.9795068479265014,-0.009970103745457815,1.62200173882369e-15
S5,inhouse_ecg_sqi,239,74,0.9866349116915943,0.9870694130258382,0.00043450133424383086,0.0016733208919621208
S5,inhouse_ppg_motion,239,74,0.019132815141892356,0.03726027649727041,0.01812746135537805,1.62200173882369e-15
S5,hr_abs_diff,239,74,13.96071408035782,19.765989900904366,5.805275820546546,7.868765485266377e-05
S5,orphanidou_template_corr,239,74,0.736594405158278,0.651570984393279,-0.08502342076499902,0.0007742472720210603
S6,inhouse_ppg_sqi,235,73,0.9887097207240652,0.9879341438817865,-0.0007755768422786913,0.6436087136279963
S6,inhouse_ecg_sqi,235,73,0.9909506791858602,0.9917561551798691,0.0008054759940089307,0.8602655352570941
S6,inhouse_ppg_motion,235,73,0.020527780501699736,0.021937920214933695,0.0014101397132339592,0.6436087136279963
S6,hr_abs_diff,235,73,7.933339167008287,10.696551630264711,2.7632124632564237,0.005291291040168998
S6,orphanidou_template_corr,235,73,0.7434487084067176,0.7482836213603408,0.0048349129536231494,0.7412066339063779
S7,inhouse_ppg_sqi,236,73,0.9877988946888346,0.9914792229278023,0.0036803282389676895,0.0007732827134511493
S7,inhouse_ecg_sqi,236,73,0.9906818304891172,0.9916628655186184,0.0009810350295011983,0.06971603727839266
S7,inhouse_ppg_motion,236,73,0.022183827838482627,0.015492321949450353,-0.0066915058890322735,0.0007732827134511493
S7,hr_abs_diff,236,73,7.698074295268518,13.76002798630327,6.061953691034751,1.1388451925541902e-05
S7,orphanidou_template_corr,236,73,0.8436255260197523,0.584544708635924,-0.25908081738382827,4.004327004420419e-19
S8,inhouse_ppg_sqi,233,73,0.9910611435089377,0.990024186610131,-0.0010369568988066735,0.026722578126113825
S8,inhouse_ecg_sqi,233,73,0.9871902653145701,0.9886967913662215,0.0015065260516513579,0.05700626086433998
S8,inhouse_ppg_motion,233,73,0.01625246634738584,0.01813784252703463,0.00188537617964879,0.026722578126113825
S8,hr_abs_diff,233,73,5.967248225332066,4.661271908925253,-1.305976316406813,0.30226083086160116
S8,orphanidou_template_corr,233,73,0.8398284242847335,0.7659002198784368,-0.07392820440629666,1.3242817178760813e-05
S9,inhouse_ppg_sqi,235,74,0.9882415301669815,0.966706144641687,-0.021535385525294437,3.6447696024065843e-25
S9,inhouse_ecg_sqi,235,74,0.9779068978987093,0.9736034764979914,-0.004303421400717933,4.384242435424591e-06
S9,inhouse_ppg_motion,235,74,0.02137903606003363,0.06053428246965973,0.0391552464096261,3.6447696024065843e-25
S9,hr_abs_diff,233,72,7.104101848109285,3.4869703374309577,-3.6171315106783273,6.418684634065831e-07
S9,orphanidou_template_corr,235,74,0.8056476239196868,0.926989916899051,0.12134229297936416,1.8737040088197553e-07
